"datetime	do_perc	temp_c"
"1/20/2019 19:45	7.95	12"
"1/20/2019 20:00	7.85	11.98"
"1/20/2019 20:15	7.96	11.98"
"1/20/2019 20:30	7.99	11.96"
"1/20/2019 20:45	7.97	11.96"
"1/20/2019 21:00	7.96	11.94"
"1/20/2019 21:15	7.98	11.92"
"1/20/2019 21:30	7.97	11.88"
"1/20/2019 21:45	7.99	11.86"
"1/20/2019 22:00	8.01	11.84"
"1/20/2019 22:15	7.95	11.82"
"1/20/2019 22:30	7.94	11.8"
"1/20/2019 22:45	7.95	11.78"
"1/20/2019 23:00	7.97	11.76"
"1/20/2019 23:15	7.99	11.74"
"1/20/2019 23:30	7.93	11.72"
"1/20/2019 23:45	7.91	11.7"
"1/21/2019 0:00	7.97	11.68"
"1/21/2019 0:15	7.99	11.66"
"1/21/2019 0:30	8.05	11.62"
"1/21/2019 0:45	8.07	11.6"
"1/21/2019 1:00	8.06	11.56"
"1/21/2019 1:15	8.06	11.54"
"1/21/2019 1:30	8.06	11.52"
"1/21/2019 1:45	8.06	11.5"
"1/21/2019 2:00	8.07	11.46"
"1/21/2019 2:15	8.11	11.44"
"1/21/2019 2:30	8.11	11.42"
"1/21/2019 2:45	8.12	11.38"
"1/21/2019 3:00	8.1	11.36"
"1/21/2019 3:15	8.12	11.32"
"1/21/2019 3:30	8.14	11.3"
"1/21/2019 3:45	8.15	11.28"
"1/21/2019 4:00	8.16	11.24"
"1/21/2019 4:15	8.18	11.22"
"1/21/2019 4:30	8.19	11.18"
"1/21/2019 4:45	8.22	11.14"
"1/21/2019 5:00	8.24	11.1"
"1/21/2019 5:15	8.24	11.08"
"1/21/2019 5:30	8.3	11.04"
"1/21/2019 5:45	8.34	11"
"1/21/2019 6:00	8.34	10.96"
"1/21/2019 6:15	8.37	10.94"
"1/21/2019 6:30	8.4	10.9"
"1/21/2019 6:45	8.43	10.86"
"1/21/2019 7:00	8.45	10.84"
"1/21/2019 7:15	8.49	10.8"
"1/21/2019 7:30	8.53	10.76"
"1/21/2019 7:45	8.54	10.72"
"1/21/2019 8:00	8.55	10.68"
"1/21/2019 8:15	8.59	10.66"
"1/21/2019 8:30	8.63	10.62"
"1/21/2019 8:45	8.66	10.6"
"1/21/2019 9:00	8.68	10.58"
"1/21/2019 9:15	8.7	10.58"
"1/21/2019 9:30	8.74	10.58"
"1/21/2019 9:45	8.78	10.58"
"1/21/2019 10:00	8.8	10.6"
"1/21/2019 10:15	8.82	10.62"
"1/21/2019 10:30	8.87	10.66"
"1/21/2019 10:45	8.9	10.7"
"1/21/2019 11:00	8.93	10.74"
"1/21/2019 11:15	8.92	10.78"
"1/21/2019 11:30	8.95	10.82"
"1/21/2019 11:45	8.97	10.88"
"1/21/2019 12:00	8.97	10.92"
"1/21/2019 12:15	8.96	10.98"
"1/21/2019 12:30	8.98	11.02"
"1/21/2019 12:45	9	11.08"
"1/21/2019 13:00	9.01	11.12"
"1/21/2019 13:15	9.01	11.18"
"1/21/2019 13:30	9.04	11.2"
"1/21/2019 13:45	9.05	11.24"
"1/21/2019 14:00	9.05	11.3"
"1/21/2019 14:15	9.07	11.32"
"1/21/2019 14:30	9.08	11.36"
"1/21/2019 14:45	9.06	11.38"
"1/21/2019 15:00	9.04	11.4"
"1/21/2019 15:15	9.05	11.42"
"1/21/2019 15:30	9.05	11.44"
"1/21/2019 15:45	9.07	11.44"
"1/21/2019 16:00	9.07	11.44"
"1/21/2019 16:15	9.05	11.42"
"1/21/2019 16:30	9.05	11.4"
"1/21/2019 16:45	9.04	11.36"
"1/21/2019 17:00	9.06	11.32"
"1/21/2019 17:15	9.06	11.28"
"1/21/2019 17:30	9.06	11.24"
"1/21/2019 17:45	9.08	11.18"
"1/21/2019 18:00	9.08	11.14"
"1/21/2019 18:15	9.1	11.1"
"1/21/2019 18:30	9.13	11.08"
"1/21/2019 18:45	9.14	11.06"
"1/21/2019 19:00	9.19	11.04"
"1/21/2019 19:15	9.21	11.02"
"1/21/2019 19:30	9.23	11"
"1/21/2019 19:45	9.28	10.98"
"1/21/2019 20:00	9.32	10.96"
"1/21/2019 20:15	9.36	10.96"
"1/21/2019 20:30	9.4	10.96"
"1/21/2019 20:45	9.42	10.94"
"1/21/2019 21:00	9.44	10.94"
"1/21/2019 21:15	9.49	10.94"
"1/21/2019 21:30	9.49	10.94"
"1/21/2019 21:45	9.34	10.92"
"1/21/2019 22:00	9.51	10.9"
"1/21/2019 22:15	9.3	10.88"
"1/21/2019 22:30	9.46	10.86"
"1/21/2019 22:45	9.07	10.84"
"1/21/2019 23:00	9.23	10.8"
"1/21/2019 23:15	9.11	10.76"
"1/21/2019 23:30	9.37	10.74"
"1/21/2019 23:45	9.42	10.7"
"1/22/2019 0:00	9.52	10.64"
"1/22/2019 0:15	9.01	10.6"
"1/22/2019 0:30	9.5	10.56"
"1/22/2019 0:45	9.57	10.52"
"1/22/2019 1:00	9.58	10.46"
"1/22/2019 1:15	9.57	10.42"
"1/22/2019 1:30	9.56	10.36"
"1/22/2019 1:45	9.55	10.32"
"1/22/2019 2:00	9.58	10.28"
"1/22/2019 2:15	9.57	10.24"
"1/22/2019 2:30	9.51	10.2"
"1/22/2019 2:45	9.58	10.16"
"1/22/2019 3:00	9.58	10.14"
"1/22/2019 3:15	9.58	10.1"
"1/22/2019 3:30	9.58	10.06"
"1/22/2019 3:45	9.57	10.04"
"1/22/2019 4:00	9.43	10.02"
"1/22/2019 4:15	9.34	9.98"
"1/22/2019 4:30	9.52	9.96"
