PanID,Site,Date_collected,Volume_Filtered_ml,Pan_g,Pan + Filter (g),Pan + Dried (g),Pan+Ash (g),Ash_wt_g,VSS_gL,VSS_mgL,POC_mgL,DI + Dried (g),,,,,,,,,
21,KNAGGS,2019-02-26,200,1.3028,1.4127,1.4298,1.4279,0.0019,0.0095,9.5,4.75,,,,,,,,,,
25,KNAGGS,2019-02-26,200,1.3002,1.4096,1.4267,1.4248,0.0019,0.0095,9.5,4.75,,,,,,,,,,
1,COS-TRI,2019-02-26,1000,1.3037,1.4137,1.4196,1.4183,0.0013,0.0013,1.3,0.65,,,,,,,,,,
2,COS-TRI,2019-02-26,1000,1.2745,1.3856,1.3929,1.3914,0.0015,0.0015,1.5,0.75,,,,,,,,,,
3,COS-TRI,2019-02-26,1000,1.2877,1.3969,1.403,1.4018,0.0012,0.0012,1.2,0.6,,,,,,,,,,
8,WENDELLS,2019-02-26,900,1.2937,1.4035,1.4219,1.4197,0.0022,0.002444444,2.444444444,1.222222222,,,,,,,,,,
12,WENDELLS,2019-02-26,900,1.303,1.413,1.4355,1.4328,0.0027,0.003,3,1.5,,,,,,,,,,
13,WENDELLS,2019-02-26,900,1.3165,1.4264,1.4486,1.4463,0.0023,0.002555556,2.555555556,1.277777778,,,,,,,,,,
18,COS-BEACH,2019-02-27,500,1.2994,1.411,1.4205,1.4184,0.0021,0.0042,4.2,2.1,,,,,,,,,,
19,COS-BEACH,2019-02-27,410,1.3009,1.4112,1.4188,1.4172,0.0016,0.003902439,3.902439024,1.951219512,,,,,,,,,,
22,COS-BEACH,2019-02-27,450,1.3135,1.4244,1.4329,1.4309,0.002,0.004444444,4.444444444,2.222222222,,,,,,,,,,
33,MOK-US-RR,2019-02-27,400,1.2854,1.3951,1.4102,1.4082,0.002,0.005,5,2.5,,,,,,,,,,
4,MOK-US-RR,2019-02-27,400,1.3097,1.4207,1.4358,1.4337,0.0021,0.00525,5.25,2.625,,,,,,,,,,
7,MOK-US-RR,2019-02-27,400,1.2768,1.3886,1.4049,1.4028,0.0021,0.00525,5.25,2.625,,,,,,,,,,
29,BABYMARSH,2019-02-28,225,1.3037,1.4145,1.4293,1.4267,0.0026,0.011555556,11.55555556,5.777777778,,,,,,,,,,
30,BABYMARSH,2019-02-28,225,1.307,1.419,1.4338,1.4313,0.0025,0.011111111,11.11111111,5.555555556,,,,,,,,,,
31,BABYMARSH,2019-02-28,225,1.304,1.4157,1.4301,1.4278,0.0023,0.010222222,10.22222222,5.111111111,,,,,,,,,,
32,COS-TRI,2019-03-07,800,1.2809,1.3916,1.4026,1.4011,0.0015,0.001875,1.875,0.9375,,,,,,,,,,
1,COS-TRI,2019-03-07,750,1.3037,1.4146,1.4257,1.4241,0.0016,0.002133333,2.133333333,1.066666667,,,,,,,,,,
2,COS-TRI,2019-03-07,750,1.2749,1.3857,1.396,1.3946,0.0014,0.001866667,1.866666667,0.933333333,,,,,,,,,,
3,WENDELLS,2019-03-07,700,1.2879,1.3998,1.4136,1.4119,0.0017,0.002428571,2.428571429,1.214285714,,,,,,,,,,
8,WENDELLS,2019-03-07,700,1.2941,1.4065,1.4208,1.4192,0.0016,0.002285714,2.285714286,1.142857143,,,,,,,,,,
9,WENDELLS,2019-03-07,650,1.2902,1.4011,1.414,1.4124,0.0016,0.002461538,2.461538462,1.230769231,,,,,,,,,,
10,COS-BEACH,2019-03-07,750,1.2893,1.4007,1.4089,1.4077,0.0012,0.0016,1.6,0.8,,,,,,,,,,
11,COS-BEACH,2019-03-07,800,1.3133,1.4248,1.4327,1.4316,0.0011,0.001375,1.375,0.6875,,,,,,,,,,
12,COS-BEACH,2019-03-07,750,1.3032,1.4151,1.4223,1.4212,0.0011,0.001466667,1.466666667,0.733333333,,,,,,,,,,
4,MOK-US-RR,2018-03-07,800,1.3098,1.4205,1.4297,1.4283,0.0014,0.00175,1.75,0.875,,,,,,,,,,
7,MOK-US-RR,2017-03-07,800,1.2771,1.388,1.3971,1.3957,0.0014,0.00175,1.75,0.875,,,,,,,,,,
19,MOK-US-RR,2016-03-07,850,1.3012,1.4119,1.4224,1.4206,0.0018,0.002117647,2.117647059,1.058823529,,,,,,,,,,
18,BABYMARSH,2019-03-08,200,1.2997,1.4099,1.4317,1.4294,0.0023,0.0115,11.5,5.75,,,,,,,,,,
22,BABYMARSH,2019-03-08,200,1.3135,1.4244,1.4466,1.4444,0.0022,0.011,11,5.5,,,,,,,,,,
29,BABYMARSH,2019-03-08,200,1.3037,1.4144,1.4365,1.4342,0.0023,0.0115,11.5,5.75,,,,,,,,,,
30,KNAGGS,2019-03-10,250,1.3069,1.4178,1.4361,1.4336,0.0025,0.01,10,5,,,,,,,,,,
13,KNAGGS,2019-03-10,250,1.3166,1.4272,1.4466,1.4443,0.0023,0.0092,9.2,4.6,,,,,,,,,,
14,KNAGGS,2019-03-10,250,1.3072,1.4178,1.4359,1.4336,0.0023,0.0092,9.2,4.6,,,,,,,,,,
17,XSSAC,2019-03-11,300,1.2981,1.4085,1.4257,1.424,0.0017,0.005666667,5.666666667,2.833333333,,,,,,,,,,
20,XSSAC,2019-03-11,300,1.311,1.4215,1.4381,1.4364,0.0017,0.005666667,5.666666667,2.833333333,,,,,,,,,,
21,XSSAC,2019-03-11,300,1.3028,1.4148,1.4308,1.4291,0.0017,0.005666667,5.666666667,2.833333333,,,,,,,,,,
23,KNAGGS,2018-03-13,300,1.3071,1.4185,1.4384,1.4358,0.0026,0.008666667,8.666666667,4.333333333,,,,,,,,,,
24,KNAGGS,2018-03-13,250,1.2946,1.4051,1.4229,1.4206,0.0023,0.0092,9.2,4.6,,,,,,,,,,
25,KNAGGS,2018-03-13,200,1.3002,1.4114,1.4262,1.4243,0.0019,0.0095,9.5,4.75,,,,,,,,,,
35,COS-BEACH,2019-03-14,1000,1.3103,1.4213,1.4266,1.4253,0.0013,0.0013,1.3,0.65,,,,,,,,,,
36,COS-BEACH,2019-03-14,1000,1.3069,1.4189,1.4244,1.4229,0.0015,0.0015,1.5,0.75,,,,,,,,,,
15,COS-BEACH,2019-03-14,500,1.3,1.4117,1.4146,1.414,0.0006,0.0012,1.2,0.6,,,,,,,,,,
1,BABYMARSH,2019-03-14,190,1.3038,1.4161,1.4313,1.4296,0.0017,0.008947368,8.947368421,4.473684211,,,,,,,,,,
2,BABYMARSH,2019-03-14,270,1.2751,1.3872,1.4071,1.4046,0.0025,0.009259259,9.259259259,4.62962963,,,,,,,,,,
4,BABYMARSH,2019-03-14,245,1.3098,1.4216,1.4435,1.4404,0.0031,0.012653061,12.65306122,6.326530612,,,,,,,,,,
7,COS-TRI,2019-03-14,1000,1.2771,1.3892,1.3996,1.3981,0.0015,0.0015,1.5,0.75,,,,,,,,,,
8,COS-TRI,2019-03-14,1000,1.2942,1.4059,1.4134,1.412,0.0014,0.0014,1.4,0.7,,,,,,,,,,
9,COS-TRI,2019-03-14,750,1.2903,1.4023,1.4122,1.4106,0.0016,0.002133333,2.133333333,1.066666667,,,,,,,,,,
